GEOID,NAME,variable,estimate,moe
13267,"Tattnall County, Georgia",population,25353,NA
13269,"Taylor County, Georgia",population,8193,NA
13271,"Telfair County, Georgia",population,16115,NA
13273,"Terrell County, Georgia",population,8859,NA
13275,"Thomas County, Georgia",population,44730,NA
13277,"Tift County, Georgia",population,40510,NA
13279,"Toombs County, Georgia",population,27048,NA
13281,"Towns County, Georgia",population,11417,NA
13283,"Treutlen County, Georgia",population,6777,NA
13285,"Troup County, Georgia",population,69774,NA
13287,"Turner County, Georgia",population,7962,NA
13289,"Twiggs County, Georgia",population,8284,NA
13291,"Union County, Georgia",population,22775,NA
13293,"Upson County, Georgia",population,26216,NA
13295,"Walker County, Georgia",population,68824,NA
13297,"Walton County, Georgia",population,90132,NA
13299,"Ware County, Georgia",population,35599,NA
13301,"Warren County, Georgia",population,5346,NA
13303,"Washington County, Georgia",population,20461,NA
13305,"Wayne County, Georgia",population,29767,NA
13307,"Webster County, Georgia",population,2613,NA
13309,"Wheeler County, Georgia",population,7939,NA
13311,"White County, Georgia",population,28928,NA
13313,"Whitfield County, Georgia",population,103849,NA
13315,"Wilcox County, Georgia",population,8846,NA
13317,"Wilkes County, Georgia",population,9884,NA
13319,"Wilkinson County, Georgia",population,9078,NA
13321,"Worth County, Georgia",population,20656,NA
15001,"Hawaii County, Hawaii",population,197658,NA
15003,"Honolulu County, Hawaii",population,987638,NA
15005,"Kalawao County, Hawaii",population,75,16
15007,"Kauai County, Hawaii",population,71377,NA
15009,"Maui County, Hawaii",population,165281,16
16001,"Ada County, Idaho",population,446052,NA
16003,"Adams County, Idaho",population,4019,NA
16005,"Bannock County, Idaho",population,85065,NA
16007,"Bear Lake County, Idaho",population,5962,NA
16009,"Benewah County, Idaho",population,9086,NA
16011,"Bingham County, Idaho",population,45551,NA
16013,"Blaine County, Idaho",population,21994,NA
16015,"Boise County, Idaho",population,7163,NA
16017,"Bonner County, Idaho",population,42711,NA
16019,"Bonneville County, Idaho",population,112397,NA
16021,"Boundary County, Idaho",population,11549,NA
16023,"Butte County, Idaho",population,2602,NA
16025,"Camas County, Idaho",population,886,105
16027,"Canyon County, Idaho",population,212230,NA
16029,"Caribou County, Idaho",population,6918,NA
16031,"Cassia County, Idaho",population,23615,NA
16033,"Clark County, Idaho",population,1077,105
16035,"Clearwater County, Idaho",population,8640,NA
16037,"Custer County, Idaho",population,4141,NA
